alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,120.000
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,122.400
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,126.800
Air Services,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,127.000
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,128.500
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,134.325
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,135.300
Mildura,EMS Dispatch,Ambulance Victoria,FM,Mildura / North West,BM,CSQ,Public Safety,North Western,VJV684,Current Allocation,165.350
Bendigo,EMS Dispatch,Ambulance Victoria,FM,Bendigo / North West,BM,110.9 PL,Public Safety,North Western,VZ3NW,Current Allocation,412.475
Mildura,EMS Dispatch,Ambulance Victoria,FM,Mildura / North West,BM,103.5 PL,Public Safety,North Western,VZ3NW,Current Allocation,415.425
VF 11,Emergency Ops,Australian Volunteer Coast Guard Association,FM,VF 11,M,CSQ,Public Safety,VF 11 - Albury / Lake Hume,,Current Allocation,154.575
VF 11,Emergency Ops,Australian Volunteer Coast Guard Association,FM,VF 11,M,CSQ,Public Safety,VF 11 - Albury / Lake Hume,,Current Allocation,161.675
1-REG-2A,Fire-Tac,Country Fire Authority,FM,-,M,103.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.100
2-REG-2B,Fire-Tac,Country Fire Authority,FM,-,M,103.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.1875
3-REG-2C,Fire-Tac,Country Fire Authority,FM,-,M,103.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.0875
4-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Ceres,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.4625
5-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Pakenham,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.000
6-REG-4A,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.1125
7-REG-4B,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VLF300,Current Allocation,160.9875
8-REG-4C,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.0875
9-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Kinglake,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,165.125
10-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Kallista,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.5125
11-REG-5A,Fire-Tac,Country Fire Authority,FM,-,M,110.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.050
12-REG-5B,Fire-Tac,Country Fire Authority,FM,-,M,110.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.0125
13-REG-5C,Fire-Tac,Country Fire Authority,FM,-,M,110.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.0375
14-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Mt. Cottrell,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,165.100
15-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Ferny Creek,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.250
16-REG-6A,Fire-Tac,Country Fire Authority,FM,-,M,114.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.1875
17-REG-6B,Fire-Tac,Country Fire Authority,FM,-,M,114.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.0875
18-REG-6C,Fire-Tac,Country Fire Authority,FM,-,M,114.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.000
19-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Mt. Steiglitz,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.2875
20-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Sergeants Hill,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.625
21-REG-7VF,Fire-Tac,Country Fire Authority,FM,Voting List 4 Mt. Marengo,BM,162.2 PL,Public Safety,VHF,VLF300,Current Allocation,163.600
22-REG-7A,Fire-Tac,Country Fire Authority,FM,-,M,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,160.9875
23-REG-7B,Fire-Tac,Country Fire Authority,FM,-,M,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.125
24-REG-7C,Fire-Tac,Country Fire Authority,FM,-,M,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.0125
25-IMC,Fire Dispatch,Country Fire Authority,FM,CFA Incident Management,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.275
26-IMC,Fire Dispatch,Country Fire Authority,FM,CFA Incident Management,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.100
27-REG-8VF,Fire-Tac,Country Fire Authority,FM,-,M,179.9 PL,Public Safety,VHF,VLF300,Current Allocation,162.675
28-REG-8AV,Fire-Tac,Country Fire Authority,FM,-,M,179.9 PL,Public Safety,VHF,VLF300,Current Allocation,163.7875
29-REG-8B,Fire-Tac,Country Fire Authority,FM,-,M,127.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.1875
30-REG-8C,Fire-Tac,Country Fire Authority,FM,-,M,127.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.075
31-REG-8D,Fire-Tac,Country Fire Authority,FM,-,M,127.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.000
32-REG-8E,Fire-Tac,Country Fire Authority,FM,-,M,127.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.1375
33-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.425
34-REG-9A,Fire-Tac,Country Fire Authority,FM,-,M,131.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.1625
35-REG-9B,Fire-Tac,Country Fire Authority,FM,-,M,131.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.0625
36-REG-9C,Fire-Tac,Country Fire Authority,FM,-,M,131.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.025
37-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.5625
38-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.7125
39-REG-10A,Fire-Tac,Country Fire Authority,FM,-,M,136.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.000
40-REG-10B,Fire-Tac,Country Fire Authority,FM,-,M,136.5 PL,Public Safety,VHF,VLF300,Current Allocation,160.9875
41-REG-10C,Fire-Tac,Country Fire Authority,FM,-,M,136.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.0375
42-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.325
43-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.7625
44-REG-11A,Fire-Tac,Country Fire Authority,FM,-,M,141.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.075
45-REG-11B,Fire-Tac,Country Fire Authority,FM,-,M,141.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.025
46-REG-11C,Fire-Tac,Country Fire Authority,FM,-,M,141.3 PL,Public Safety,VHF,VLF300,Current Allocation,161.050
47-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.9875
48-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.0125
49-REG-12A,Fire-Tac,Country Fire Authority,FM,-,M,146.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.0125
50-REG-12B,Fire-Tac,Country Fire Authority,FM,-,M,146.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.225
51-REG-12C,Fire-Tac,Country Fire Authority,FM,-,M,146.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.1375
52-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,164.075
53-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.0875
54-REG-13VF,Fire Dispatch,Country Fire Authority,FM,-,M,173.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.525
55-REG-13A,Fire-Tac,Country Fire Authority,FM,-,M,156.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.1125
56-REG-13B,Fire-Tac,Country Fire Authority,FM,-,M,156.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.175
57-REG-13C,Fire-Tac,Country Fire Authority,FM,-,M,156.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.200
58-REG-13D,Fire-Tac,Country Fire Authority,FM,-,M,156.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.100
59-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.1625
60-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.3375
61-REG-14VF,Fire Dispatch,Country Fire Authority,FM,-,M,167.9 PL,Public Safety,VHF,VLF300,Current Allocation,162.775
62-REG-14A,Fire-Tac,Country Fire Authority,FM,-,M,162.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.0625
63-REG-14B,Fire-Tac,Country Fire Authority,FM,-,M,162.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.150
64-REG-14C,Fire-Tac,Country Fire Authority,FM,-,M,162.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.050
65-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.3625
66-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.3875
67-REG-15A,Fire-Tac,Country Fire Authority,FM,-,M,167.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.025
68-REG-15B,Fire-Tac,Country Fire Authority,FM,-,M,167.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.1625
69-REG-15C,Fire-Tac,Country Fire Authority,FM,-,M,167.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.200
70-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.400
71-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.4125
72-REG-16A,Fire-Tac,Country Fire Authority,FM,-,M,173.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.075
73-REG-16B,Fire-Tac,Country Fire Authority,FM,-,M,173.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.1375
74-REG-16C,Fire-Tac,Country Fire Authority,FM,-,M,173.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.175
75-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.4625
76-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.500
77-REG-17A,Fire-Tac,Country Fire Authority,FM,-,M,179.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.225
78-REG-17B,Fire-Tac,Country Fire Authority,FM,-,M,179.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.150
79-REG-17C,Fire-Tac,Country Fire Authority,FM,-,M,179.9 PL,Public Safety,VHF,VLF300,Current Allocation,161.000
80-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.6625
81-IMC,Fire Dispatch,Country Fire Authority,FM,-,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.725
82-REG-18A,Fire-Tac,Country Fire Authority,FM,-,M,186.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.0125
REG-18B-83,Fire-Tac,Country Fire Authority,FM,-,M,186.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.0375
REG-18C-84,Fire-Tac,Country Fire Authority,FM,-,M,186.2 PL,Public Safety,VHF,VLF300,Current Allocation,160.9875
IMC 85,Fire Dispatch,Country Fire Authority,FM,CFA Incident Management Channel,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.2875
IMC 86,Fire Dispatch,Country Fire Authority,FM,CFA Incident Management Channel,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.650
REG-20A-87,Fire-Tac,Country Fire Authority,FM,-,M,192.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.125
REG-20B-88,Fire-Tac,Country Fire Authority,FM,-,M,192.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.050
REG-20C-89,Fire-Tac,Country Fire Authority,FM,-,M,192.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.025
IMC 90,Fire Dispatch,Country Fire Authority,FM,"CFA IMC -Mt. Sabine, Mt. Broughton",BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.2625
IMC 91,Fire Dispatch,Country Fire Authority,FM,"CFA IMC -Lake Gnotuk, Larkins Hill",BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.350
REG-22A-92,Fire-Tac,Country Fire Authority,FM,-,M,203.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.150
REG-22B-93,Fire-Tac,Country Fire Authority,FM,-,M,203.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.0375
REG-22C-94,Fire-Tac,Country Fire Authority,FM,-,M,203.5 PL,Public Safety,VHF,VLF300,Current Allocation,160.9875
IMC 95,Fire Dispatch,Country Fire Authority,FM,CFA Incident Management Channel,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.8625
IMC 96,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Loch,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,165.1625
REG-23A-97,Fire-Tac,Country Fire Authority,FM,-,M,210.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.050
REG-23B-98,Fire-Tac,Country Fire Authority,FM,-,M,210.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.1875
REG-23C-99,Fire-Tac,Country Fire Authority,FM,-,M,210.7 PL,Public Safety,VHF,VLF300,Current Allocation,161.075
IMC 100,Fire Dispatch,Country Fire Authority,FM,"CFA IMC -Neerim Junction, Upton Hill, Wodonga",BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,164.250
IMC 101,Fire Dispatch,Country Fire Authority,FM,"CFA IMC -Drysdale, Bald Hill",BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.2125
REG-24A-102,Fire-Tac,Country Fire Authority,FM,-,M,218.1 PL,Public Safety,VHF,VLF300,Current Allocation,161.125
REG-24B-103,Fire-Tac,Country Fire Authority,FM,-,M,218.1 PL,Public Safety,VHF,VLF300,Current Allocation,161.0125
REG-24C-104,Fire-Tac,Country Fire Authority,FM,-,M,218.1 PL,Public Safety,VHF,VLF300,Current Allocation,161.0875
IMC 105,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Reefton,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.075
IMC 106,Fire Dispatch,Country Fire Authority,FM,"CFA IMC -Mt. Buninyong, Mt. Benambra",BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.4375
AIRCRAFT-107,Fire-Tac,Country Fire Authority,FM,Aircraft,M,CSQ,Public Safety,VHF,VLF300,Current Allocation,161.2125
BORDER1-108,Fire-Tac,Country Fire Authority,FM,Border 1,M,CSQ,Public Safety,VHF,VLF300,Current Allocation,161.175
BORDER2-109,Fire-Tac,Country Fire Authority,FM,Border 2,M,CSQ,Public Safety,VHF,VLF300,Current Allocation,161.200
MFESB110,Fire-Tac,Country Fire Authority,FM,MFESB,M,94.8 PL,Public Safety,VHF,VLF300,Current Allocation,161.400
DSE-PP1-111,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.2625
DSE-PP2-112,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.375
DSE-PP3-113,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.3875
DSE-NW1-114,Fire-Tac,Country Fire Authority,FM,-,M,114.8 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.275
DSE-NW2-115,Fire-Tac,Country Fire Authority,FM,-,M,114.8 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.3875
DSE-NW3-116,Fire-Tac,Country Fire Authority,FM,-,M,114.8 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.2875
DSE-SW1-117,Fire-Tac,Country Fire Authority,FM,-,M,123.0 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.375
DSE-SW2-118,Fire-Tac,Country Fire Authority,FM,-,M,123.0 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.2875
DSE-SW3-119,Fire-Tac,Country Fire Authority,FM,-,M,123.0 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.275
DSE-NE1-120,Fire-Tac,Country Fire Authority,FM,-,M,131.8 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.3875
DSE-NE2-121,Fire-Tac,Country Fire Authority,FM,-,M,131.8 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.2625
DSE-NE3-122,Fire-Tac,Country Fire Authority,FM,-,M,131.8 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.375
DSE-GP1-123,Fire-Tac,Country Fire Authority,FM,-,M,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.2875
DSE-GP2-124,Fire-Tac,Country Fire Authority,FM,-,M,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.375
DSE-GP3-125,Fire-Tac,Country Fire Authority,FM,-,M,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,161.275
DSE-RP1-126,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -1,BM,210.7 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.2125
DSE-RP2-127,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -2,BM,151.4 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.2125
DSE-TA1-128,Fire-Tac,Country Fire Authority,FM,DSE Talk-Around,M,CSQ,Public Safety,VHF,VZ3CG,Current Allocation,162.2125
DSE-RP3-129,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -3,BM,210.7 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.175
DSE-RP4-130,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -4,BM,151.4 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.175
DSE-TA2-131,Fire-Tac,Country Fire Authority,FM,DSE Talk-Around,M,CSQ,Public Safety,VHF,VZ3CG,Current Allocation,162.175
DSE-RP5-132,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -5,BM,210.7 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.0625
DSE-RP6-133,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -6,BM,151.4 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.0625
DSE-TA3-134,Fire-Tac,Country Fire Authority,FM,DSE Talk-Around,M,CSQ,Public Safety,VHF,VZ3CG,Current Allocation,162.0625
DSE-RP7-135,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -7,BM,210.7 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.475
DSE-RP8-136,Fire-Tac,Country Fire Authority,FM,DSE Repeater Channel -8,BM,151.4 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.475
DSE-TA4-137,Fire-Tac,Country Fire Authority,FM,DSE Talk-Around,M,CSQ,Public Safety,VHF,VZ3CG,Current Allocation,162.475
DSE-IC140,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Worth,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.1375
DSE-IC141,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Pendergast,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.33125
DSE-IC142,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Beenak,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.0625
DSE-IC143,Fire-Tac,Country Fire Authority,FM,DSE IC -Jones Ridge,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.36875
DSE-IC144,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Clay,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.19375
DSE-IC145,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Arapiles,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.59375
DSE-IC146,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. William,BM,146.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.64375
DSE-IC147,Fire-Tac,Country Fire Authority,FM,DSE IC -Casterton,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.15625
DSE-IC148,Fire-Tac,Country Fire Authority,FM,"DSE IC -Mt. Cowley, Mt. Major",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.53125
DSE-IC149,Fire-Tac,Country Fire Authority,FM,"DSE IC -Beechforest, Mt. Moliagul, Ryan's Hill, Mt. Benambra",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.31875
DSE-IC150,Fire-Tac,Country Fire Authority,FM,"DSE IC -Lookout Hill, Lady Franklin",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.09375
DSE-IC151,Fire-Tac,Country Fire Authority,FM,"DSE IC -Mt. Warrenheip, Ada Divide Track",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.1875
DSE-IC152,Fire-Tac,Country Fire Authority,FM,"DSE IC -Blue Mount, Bellevue",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.56875
DSE-IC153,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Blackwood,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.075
DSE-IC154,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Macedon,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.0625
DSE-IC155,Fire-Tac,Country Fire Authority,FM,DSE IC -Arthur's Seat,BM,146.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,162.8125
DSE-IC156,Fire-Tac,Country Fire Authority,FM,DSE IC -Dunns Hill,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.025
DSE-IC157,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. St. Leonard,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.625
DSE-IC158,Fire-Tac,Country Fire Authority,FM,DSE IC -Murrayville,BM,146.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.18125
DSE-IC159,Fire-Tac,Country Fire Authority,FM,"DSE IC -Walpeup, Mt. Hickey",BM,146.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.1875
DSE-IC160,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Ida,BM,146.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.45625
DSE-IC161,Fire-Tac,Country Fire Authority,FM,"DSE IC -One Tree Hill (Bendigo), Tanybryn",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.7875
DSE-IC162,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Terrible,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.20625
DSE-IC163,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Despair,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.66875
DSE-IC164,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Buller,BM,146.2 PL,Public Safety,VHF,VZ3CG,Current Allocation,163.025
DSE-IC165,Fire-Tac,Country Fire Authority,FM,"DSE IC -Mt. Wombat, Nypo",BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.61875
DSE-IC166,Fire-Tac,Country Fire Authority,FM,DSE IC -Mt. Buffalo,BM,141.3 PL,Public Safety,VHF,VZ3CG,Current Allocation,164.18125
